Query Description,ProblemStatement,Closure Comment,InternalRCA
Facing Issue With ISLog generation from ISPack.jar,,Please check IS logs of app-server for the error regarding utility. Error is printing there.,
Workitem is going to suspended stage in Lead Agri.,In Agri process Workitem is going to suspended stage. and in WFINSTRUMENTTABLE got Error in Executing External EJB: No Application deployed.,As checked no L1 and L2 analysis is there i in workitem  history directly mentioned-- Executing External EJB: No Application deployed.,As checked no L1 and L2 analysis is there i in workitem  history directly mentioned-- Executing External EJB: No Application deployed.
problem using WMCreateChildWorkItem,Unable to modify values of attributes while creating child workitem using test.war.,"As checked, input XML passed was incorrect. Provided proper input XML for WMCreateChildWorkitem API.","As checked, input XML passed was incorrect. Provided proper input XML for WMCreateChildWorkitem API."
WI Not getting created at New button click,"Issue with Trigger applied over External table. Upon removing trigger, issue got resolved.","Issue with Trigger applied over External table. Upon removing trigger, issue got resolved.","While creating new workitem from Omniapp, getting error 'WM_CONNECT_FAILED'."
Query Regarding ProcessInstance ID.,,"As discussed, it is not possible to change suffix and prefix for 2 introduction in one process","As discussed, it is not possible to change suffix and prefix for 2 introduction in one process"
Filter Applied on a group not working.,FIFO queue filters are not working in case of Bring Next Workitem.,Fix has been provided. kindly deploy and check.,Code fix
Not able to update view .,,"As discussed over teams , Fix is already shared for this issue which is working fine on UAT. For production Please remove/add omniapp_ejb and restart  the server as it is Cluster environments and the changes are not reflecting.",
Document List pane is opening without click,Document List pane is opening while clicking the view button in a listview where it needs to open when clicked on the document list in the workitem. Kindly guide on this issue.,Pls register CQRN once the environment is available.,NA
Not able to view document properly using pop out,"While giving pop out from document list in workitem, not able to view the document properly, its displaying at the bottom only if the size adjustment is changed able to view properly. Kindly help in resolving this issue.",Please register CQRN once Environment is available.,Environment not available.
Workitem is opening blank,"We have created process specific war and deployed then open the workitem but Workitem is not open, 
process war is created from iformimpl.war as well we tried from psiform.war but still not working. kindly check",After deploying correct iformViewer.class file (that was not present in released hotfix) issue is resolved.,NA
Unable to unlock workitem in IBPS.,,Whitelisting Issue,
Logs are not generating,as per the customer utility logs are not getting created,"As shown to the team on Friday, logs are getting generated at '/release/NGLogs/' location which is the correct location","As shown to the team on Friday, logs are getting generated at '/release/NGLogs/' location which is the correct location"
Null is setting incase of no data in advlistview.,Null is setting incase control id and corresponding value is not passed in JSON array while using addDataToAdvancedGrid() in advlistview.,"FTP Path:
https://ftp.newgen.co.in/~OmniRules/IBPS%205.X/iBPS%205.0%20SP2/Patches%20&%20Hotfixes/Specific_Hotfixes/IBPS5.2.1_210/",Bug 129021
Unable to login in ofservices.,unable to login in ofservices,"As checked over teams post entering the correct credentials now you are able to login in ofservices.

Note: The supervisor user credentails  for omnidocs and ofservices are different.","As checked over teams post entering the correct credentials now you are able to login in ofservices.

Note: The supervisor user credentails  for omnidocs and ofservices are different."
